,User_SubFunctional_Area,User_Functional_Area,User_JobTitle,User_ProfileTitle,User_Industry,User_Experience (Years),User_Skills,Relevant_Degree,Releveant_Cert,Industry,Sector,Relevant_Skills,Relevant_Match_Score
7560,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator it infra service desk,service desk l2 administrator with 30+ months of experience,it   software,6-12 exp,"service desk,citirix,active directory",0,0,it,software,0,0
7561,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator messaging,b.e with 2.6 years of experience as administrator messaging,it   software,6-12 exp,"server administratio,resolving blackberry,incident managemen,,data extraction usin",0,0,it,software,0,0
7562,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,aix administrator,it   software,6-12 exp,",,remedy admin,,remedy admin,,remedy admin",0,1,it,software,0,0
7563,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,aix administrator,it   software,6-12 exp,"unix administration,,,p5 pseries server ru,,unix system administ,visio,,redhat linux",0,1,it,software,1,0.84
7564,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general",0,0,it,software,1,0.73
7565,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,,it   software,6-12 exp,"unix administration,",0,1,it,software,1,0.85
7566,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administration,,it   software,6-12 exp,"system administration,network implementati",0,0,it,software,1,1.0
7567,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,,it   software,6-12 exp,"linux general,system administratio,unix   general,windows7,networkings",0,0,it,software,0,0
7568,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst technical engineer,analyst technical engineer,it   software,6-12 exp,",,,,configuring outlook,troubleshooting outl,server administratio,",0,1,it,software,0,0
7569,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application desktop support,windows server application support,it   software,6-12 exp,"networkings,,technologies",0,0,it,software,0,0
7570,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support engineer,,it   software,6-12 exp,"system administratio,networkings,troubleshooting,call center applicat",0,0,it,software,0,0
7571,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,application support;redhat linux; it support ; it operation,linux admin,it   software,6-12 exp,"systems &,,application server,xilinx,plsql",0,0,it,software,0,0
7572,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application system administrator,looking for job for the position of business analyst; business intelligence and erp consultatnt,it   software,6-12 exp,"six sigma,spss 20.0,business intelligenc,sap   fi; co; sd; mm,mititab 16.0,,business analysis",0,0,it,software,0,0
7573,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,asic engineer,validation engineer,it   software,6-12 exp,digital design;semic,0,0,it,software,0,0
7574,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant engineer,,it   software,6-12 exp,cisco routing; switc,0,0,it,software,0,0
7575,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistant engineer,,it   software,6-12 exp,"linux general,system administratio,networkings,unix   general",0,0,it,software,1,0.73
7576,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate software engineer,software analyst,it   software,6-12 exp,"unix   hp ux,c#",0,0,it,software,0,0
7577,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,ate testing labview,software hardware engineer,it   software,6-12 exp,"component qualificat,automated testing fi,javascript coding la",0,0,it,software,0,0
7578,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,cae engineer,hypermesh,it   software,6-12 exp,"hypermesh,automated",0,0,it,software,0,0
7579,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer.,embedded engineer,it   software,6-12 exp,"embedded c;8051;arm7,rashberry pi",0,0,it,software,1,0.76
7580,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software developer,,it   software,6-12 exp,"c,linux   embedded,embedded systems,java,c++,php,pilot",0,0,it,software,1,0.76
7581,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,2_year y  6_months m  of experience in embedded device drivers development,it   software,6-12 exp,"embedded programming,embedded software   control systems,embedded software   device drivers,assembly language,c,embedded c",0,0,it,software,1,0.76
7582,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,einfochips pvt. ltd; ahmedabad,it   software,6-12 exp,"shell scripting,device drivers,c++,java,linux   embedded,embedded device driv,embedded c,pic microcontroller",0,0,it,software,1,0.76
7583,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,embedded engineer,it   software,6-12 exp,"data structures,device driver programming,xilinx   general,operating systems,xilinx   embedded,xilinx",0,0,it,software,1,0.76
7584,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,embedded software engineer,it   software,6-12 exp,"embedded hardware,embedded systems,rtos,matlab",0,0,it,software,1,0.76
7585,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,embedded software enginner,it   software,6-12 exp,"linux   general,vxworks,c++,qtp",0,0,it,software,0,0
7586,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,intern,physical design trainee; total 2.6 years experience; 1 year experience in vlsi; masters in vlsi; see,it   software,6-12 exp,"perl,,veririfcation,synthesis,basics,systemverilog,infosystem,digital electronics,functional verificat,front end design",0,0,it,software,0,0
7587,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,junior embedded engineer,,it   software,6-12 exp,"usart,,embedded systems,assembly language,i2c,keil,c,orcade,coocox coide,capture cis,,microcontrollerss",0,0,it,software,1,0.76
7588,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,network engineer,network engineer,it   software,6-12 exp,",,,,, ; setup;serve,vsat",0,1,it,software,0,0
7589,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,project cum mis co ordinator,pcb vlsi design engineer;b.tech ece & m.tech in vlsi and microelectronics,it   software,6-12 exp,",,,,",1,0,it,software,0,0
7590,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software engineer,embedded engineer,it   software,6-12 exp,"xilinx,php,xhtml,c++",0,0,it,software,0,0
7591,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,be ece,it   software,6-12 exp,"c,c++,sap basis,as400,hmc,mat lab",0,0,it,software,0,0
7592,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,b.tech with 2+ exp in minvesta with google as client,it   software,6-12 exp,"dhcp,resolution,linux   general,tcp ip,,,,,c,smtp,trained,ospf",1,1,it,software,0,0
7593,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,bss engineer,bss engineer,it   software,6-12 exp,",rf survey,",1,0,it,software,0,0
7594,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,cctns helpdesk managment,6 month,it   software,6-12 exp,",j2ee,java apis,networking protocols,tcp ip,vlans,servelets,jsp,hibernate",0,0,it,software,0,0
7595,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,it   software,6-12 exp,".net,.net programming,,aims",0,0,it,software,0,0
7596,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive,,it   software,6-12 exp,"system administratio,networkings,linux general,unix   general",0,0,it,software,1,0.73
7597,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin officer,,it   software,6-12 exp,",,trekking; painting;,",0,1,it,software,0,0
7598,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator .,,it   software,6-12 exp,"system administratio,linux general,unix   general,windows7,networkings",0,0,it,software,0,0
7599,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator developer,,it   software,6-12 exp,"application developm,networkings,system administratio,linux general",0,0,it,software,0,0
7600,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,aix sytem administartor with 2years of experience,it   software,6-12 exp,,0,1,it,software,0,0
7601,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,analyst,,it   software,6-12 exp,"networkings,,cisco",0,1,it,software,0,0
7602,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,,it   software,6-12 exp,"system administratio,networkings,linux general,windows7",0,0,it,software,0,0
7603,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst engineer accenture,it operations analyst,it   software,6-12 exp,",",0,1,it,software,0,0
7604,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,animator  and fx artist,,it   software,6-12 exp,"validation,signalling,character signalling,sfx",0,0,it,software,0,0
7605,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support engineer,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general,windows7",0,0,it,software,0,0
7606,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support engineer,linux administartor or banking application support engineer,it   software,6-12 exp,"dhcp,application support,banking application",0,0,it,software,0,0
7607,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,assistance system engineer,,it   software,6-12 exp,"advertising,networkings,linux general,,automation,system administratio",0,0,it,software,0,0
7608,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant hardware engineer,,it   software,6-12 exp,"networkings,pchardware",0,0,it,software,0,0
7609,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bms executive,,it   software,6-12 exp,"fire protection systems,hvac system,rdbms,access controle,cctv",0,0,it,software,0,0
7610,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded development engineer,embedded development engineer,it   software,6-12 exp,"c,pcb design,c programming assemb,microcontroller 8051,arm;rtos,embedded systems",0,0,it,software,1,0.76
7611,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,embedded resume,it   software,6-12 exp,"micromicrocontrollers,embedded systems,senior embedded engi,c;microcontrollers progra,,embedded c,i2c;spi;uart,protocols spi;iic;ua,labview;phython,microcontrollers,c,micromicrocontrollerss",0,0,it,software,1,0.76
7612,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,matlab developer,2.6 years experience in matlab simulink mbd development,it   software,6-12 exp,"simulations,matlab,stateflow,targetlink",0,0,it,software,0,0
7613,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administrator,b.tech with 2.7 years of it exprerience in aix administrator,it   software,6-12 exp,,1,1,it,software,0,0
7614,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administrator,having 2.7 years of experience on aix nfs nim lpar dlar vios,it   software,6-12 exp,"investigation,administration,networkconfiguration,,various",0,1,it,software,0,0
7615,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administrator,,it   software,6-12 exp,troubleshooting,0,0,it,software,0,0
7616,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,business analyst,analyst,it   software,6-12 exp,manual,0,0,it,software,0,0
7617,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,2.8 year sql dba,sql dba,it   software,6-12 exp,",,xilinx,sql dba,production support,",0,1,it,software,0,0
7618,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,add value operations applying broad based information technology principles it professio,technical support engineer,it   software,6-12 exp,"networks.desktop sup,itcm;sccm 2012,sccm,itcm includes asset,",0,0,it,software,0,0
7619,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,adecco consultant,,it   software,6-12 exp,"c;,c++,linux general,networkings",0,0,it,software,0,0
7620,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin charge,admin in charge,it   software,6-12 exp,", in charge,",0,0,it,software,0,0
7621,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,having 2.8yrs in salesforce developer,it   software,6-12 exp,"triggers,visual force pages,batch apex,email programing,schedule apex,",0,0,it,software,0,0
7622,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,analyst,it   software,6-12 exp,"hmc,,lvm,nagios,nfs,ncsim,solarwinds,visio,,linux general,unix   general,",0,1,it,software,0,0
7623,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system admin,aix system administration,it   software,6-12 exp,"storage area network  san,,,,",0,1,it,software,0,0
7624,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support engineer,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general,windows7",0,0,it,software,0,0
7625,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,area manager technical supported,sivakumar k resume,it   software,6-12 exp,,0,0,it,software,0,0
7626,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,asic verification trainee,asic verification engineer,it   software,6-12 exp,"cadence virtuoso,system verilog,uvm,verilog coding,,,,systemverilog,c,rivera",0,1,it,software,0,0
7627,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,assistant manager,mba from iim ahmedabad with 2.6 yrs of experience,it   software,6-12 exp,"client servicing,project planning,,co ordination",0,0,it,software,0,0
7628,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,associate infrastructure engineer,associate infrastructure engineer,it   software,6-12 exp,"citirix,mainframes,c,jcl,,php; mysql,photoshop",0,0,it,software,0,0
7629,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded developer,embedded systems engineer,it   software,6-12 exp,"embedded software   data communications,embedded systems,embedded systems",0,0,it,software,1,0.76
7630,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,rtl design engineer,pg.diploma in vlsi & es from cdac and b.tech with 2+ years exp. as a rtl design engineer,it   software,6-12 exp,"modelsim,,fpgas,xilinx ise,c language",1,1,it,software,0,0
7631,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,b.tech with 2+ year exp.,it   software,6-12 exp,linux server,1,0,it,software,0,0
7632,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analyst,btech with more than 2 years of experiance,it   software,6-12 exp,",itil,networkings",0,1,it,software,0,0
7633,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,business development executive,,it   software,6-12 exp,,0,0,it,software,0,0
7634,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,adminstrator,,it   software,6-12 exp,"windows7,unix   general,networkings,system administratio,linux general",0,0,it,software,0,0
7635,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix admin,,it   software,6-12 exp,,0,1,it,software,0,0
7636,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administrator,aix administrator & emc san administrator,it   software,6-12 exp,"storage area network  san,hmc,ibm power harware_p5,,vio installation,emc storage vnx 5100,,,nim installation",0,1,it,software,0,0
7637,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,analyst programmer,experience in ms sql server 2008;ssrs;ssis,it   software,6-12 exp,"tsql,ms sql server 2008,sensors,sql server developer",0,0,it,software,0,0
7638,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support,,it   software,6-12 exp,"networkings,system administratio,investigation,maintaining servers",0,0,it,software,0,0
7639,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,electrical design engineer,b tech,it   software,6-12 exp,"3d animation,",1,0,it,software,0,0
7640,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded engineer,embedded engineer,it   software,6-12 exp,"embedded c,c;embedded c;testing",0,0,it,software,1,0.76
7641,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,mohdfaraz 2.9years embeddedsoftwareengineer,it   software,6-12 exp,,0,0,it,software,0,0
7642,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded systems,embedded systems,it   software,6-12 exp,"c++,rtos,embedded c",0,0,it,software,1,0.76
7643,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software developer,engineering,it   software,6-12 exp,"faultmanagement,communication skill",1,0,it,software,0,0
7644,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,software engineer,software engineer,it   software,6-12 exp,"microcontrollers,embedded systems,c,c++,i2c,,c language,os concepts,ipc techniques,usart",0,0,it,software,1,0.76
7645,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,vendor,,it   software,6-12 exp,"java,vb.net,c language,oracal",0,0,it,software,0,0
7646,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administrator,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general,windows7",0,0,it,software,0,0
7647,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,analysis,,it   software,6-12 exp,".net programming,academic,adobe photoshop,books,c,windows7,unix   general,system administratio,networkings,linux general",0,0,it,software,0,0
7648,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,it   software,6-12 exp,"handiling,configuration manage,linux general,,database administrat,system administratio,networkings",0,0,it,software,0,0
7649,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,it   software,6-12 exp,"system administratio,networkings,linux general,unix   general,windows7",0,0,it,software,0,0
7650,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration implementation,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general,netbackup",0,0,it,software,0,0
7651,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,administrator,it   software,6-12 exp,"nmap,admin studio,application packagin,server migration,mdt,fact",0,0,it,software,0,0
7652,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,system administrator with experience in sharepoint; windows server;active directory and sccm adminis,it   software,6-12 exp,"windows server administration,active directory,sharepoint,sccm 2012,networkings",0,0,it,software,0,0
7653,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix administrator,,it   software,6-12 exp,xilinx,0,0,it,software,0,0
7654,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,application support bpm,,it   software,6-12 exp,"xhtml,oracle   dba,java script",0,0,it,software,0,0
7655,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,as400 admin,as400 administrator,it   software,6-12 exp,languages,0,0,it,software,0,0
7656,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,assistant edp,new resume,it   software,6-12 exp,"oracle forms,erp   oracle,oracle   dba,computer maintenance repair,hardware designing",0,0,it,software,0,0
7657,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,bms engineer,,it   software,6-12 exp,bms engineer,0,0,it,software,0,0
7658,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,embedded software engineer,m.tech completed embedded developer with 2.10 years experience,it   software,6-12 exp,"embedded systems,usart,c,wide,embedded hardware en,vlsi,army,microcontrollers,i2c,se,,rtos,keil,cadence,embedded c,robotics",1,0,it,software,1,1.0
7659,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,engineer,b tech,it   software,6-12 exp,",",1,0,it,software,0,0
7660,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,senior verification engineer,verification engineer,it   software,6-12 exp,"system verilog,assertions,coverage,ovm",0,0,it,software,0,0
7661,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,business development manager,mba in finance & marketing having 3 yrs experience in relationship management,it   software,6-12 exp,"business development,,,mentinance,,retail,,,,",0,0,it,software,0,0
7662,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,access admin sarm,b.tech with 3year of it experience in identity and access management,it   software,6-12 exp,"windows7,telephone",1,0,it,software,0,0
7663,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,account assistant,account assistant,it   software,6-12 exp,",advance excel,script,",0,0,it,software,0,0
7664,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general",0,0,it,software,1,0.73
7665,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general,windows7",0,0,it,software,0,0
7666,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator tools,administrator   tools,it   software,6-12 exp,"active directory,windows server,satcom,sccm,exchange 2010,sql server,powershell",0,0,it,software,0,0
7667,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix 2.10 year expertized system adminisrator,aix system administrator,it   software,6-12 exp,,0,1,it,software,0,0
7668,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system admin,aix system admin,it   software,6-12 exp,",;visio;;hmc;dl,,visio",0,1,it,software,0,0
7669,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administrator,aix system admin,it   software,6-12 exp,"linux   general,system administration,storage area network  san,",0,1,it,software,1,1.0
7670,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,assistantprofessor,asst.professor,it   software,6-12 exp,"computer hardware,c,,digital signal proce,",0,0,it,software,0,0
7671,Telecom Network Design / Management,IT - Hardware / Networking / Telecom Engineering,associate help desk,associate pmo,it   software,6-12 exp,"service desk,, o",0,0,it,software,0,0
7672,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,computer hardware  and softaware opreator,computer operator &hardware engg micromax mobile handset sales & stock manag e,it   software,6-12 exp,"system software,system software,hardware designing,hardware designing,hardware designing",0,0,it,software,0,0
7673,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,engineer,b tech,it   software,6-12 exp,"computer hardware,microsoft windows 20",1,0,it,software,0,0
7674,"Embedded, VLSI",IT - Hardware / Networking / Telecom Engineering,systems engineer,,it   software,6-12 exp,"embedded os,c,c++",0,0,it,software,1,0.77
7675,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix system administrator,,it   software,6-12 exp,",visio,,system administratio",0,0,it,software,1,0.8
7676,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,1. technical staff,,it   software,6-12 exp,",apis,system administratio,networkings",0,1,it,software,1,0.85
7677,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,3 year exp system hardware andnetwork,resume,it   software,6-12 exp,",,system hardware",0,0,it,software,0,0
7678,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,3 year exp system hardware andnetwork,resume,it   software,6-12 exp,system hardware,0,0,it,software,0,0
7679,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,3 year experience system admin,2.6 years experience in system engineer,it   software,6-12 exp,",active directory,desktop support",0,1,it,software,0,0
7680,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accountant,,it   software,6-12 exp,",",0,0,it,software,0,0
7681,Hardware / Telecom Equipment Design,IT - Hardware / Networking / Telecom Engineering,accountant,m.com with 3 year experience,it   software,6-12 exp,",,reconciliation,,,,bank reconciliation,service tax",0,0,it,software,0,0
7682,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,freelance it consultant,it   software,6-12 exp,"system administratio,networkings,linux general,unix   general,windows7",0,0,it,software,0,0
7683,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,it   software,6-12 exp,"citirix,active directory,,vmware esx esxi serv,vsphere 4.1 5.0 5.1,dhcp;dns;group polic",0,0,it,software,0,0
7684,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,it   software,6-12 exp,"linux general,system administratio",0,0,it,software,1,0.76
7685,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin,,it   software,6-12 exp,"system administratio,architectural design,studio,networkings,b2b,linux general,unix   general",0,0,it,software,0,0
7686,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin | system | dba support,system administrator,it   software,6-12 exp,troubleshooting; alm,0,0,it,software,0,0
7687,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin coordinator,,it   software,6-12 exp,"watching tv; dancing,watching tv; dancing",0,0,it,software,0,0
7688,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin executive cum accountant,,it   software,6-12 exp,"system administratio,networkings,linux general,unix   general",0,0,it,software,1,0.73
7689,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin manager,,it   software,6-12 exp,system administratio,0,0,it,software,1,0.82
7690,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,admin operations customer care,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general,windows7",0,0,it,software,0,0
7691,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administartor,,it   software,6-12 exp,"system administratio,networkings,linux general,unix   general,windows7",0,0,it,software,0,0
7692,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration,,it   software,6-12 exp,administration,0,0,it,software,1,1.0
7693,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration,,it   software,6-12 exp,",using sql* loader,alert log monitoring",0,0,it,software,0,0
7694,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administration,,it   software,6-12 exp,"system administratio,networkings,linux general,unix   general,windows7",0,0,it,software,0,0
7695,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrative officer,,it   software,6-12 exp,"java,oracle9i",0,0,it,software,0,0
7696,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"netbackup,c,certified lotus inst,computer hardware,controlling,system administratio,networkings,linux general,unix   general,windows7",0,0,it,software,0,0
7697,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"linux   general,shield,putty; mqmon; citrix,c",0,0,it,software,0,0
7698,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"linux general,system administratio",0,0,it,software,1,0.76
7699,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general",0,0,it,software,1,0.73
7700,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general,windows7",0,0,it,software,0,0
7701,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"system administration,networkings,system administratio,linux general,unix   general",0,0,it,software,1,0.84
7702,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"system administratio,unix   general,networkings,windows7",0,0,it,software,0,0
7703,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,,0,0,it,software,0,0
7704,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,,it   software,6-12 exp,"windows7,unix   general,networkings,system administratio,linux general",0,0,it,software,0,0
7705,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator,koti,it   software,6-12 exp,"systems &,,linux   general,glp  good laboratory practice,glp  good laboratory practice,gmp  good manufacturing practice,solaris administrati,good",0,0,it,software,0,0
7706,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator developer,,it   software,6-12 exp,"networkings,system administratio,linux general,unix   general",0,0,it,software,1,0.73
7707,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator developer,,it   software,6-12 exp,"windows7,networkings,system administratio,linux general,unix   general",0,0,it,software,0,0
7708,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator developer.,,it   software,6-12 exp,"system administratio,networkings,linux general,windows7",0,0,it,software,0,0
7709,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,administrator network  and security,,it   software,6-12 exp,"dns,c,c++,plsql",0,0,it,software,0,0
7710,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,agm system installation  and configuration,,it   software,6-12 exp,"firewalls,,,antivirus,vpns",0,1,it,software,0,0
7711,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix,experienced of 3 yr's & certified on aix7,it   software,6-12 exp,",backup recovery,lvm,nfs,ncsim,",0,1,it,software,0,0
7712,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix ;;linux redhat 6.2,aix redhat administration,it   software,6-12 exp,"dhcp,,trained,tsrm,redhat linux, admin,linux admin",0,1,it,software,0,0
7713,Network / System Administration,IT - Hardware / Networking / Telecom Engineering,aix admin,,it   software,6-12 exp,",",0,1,it,software,0,0
